T/F	sentiment	ori	context
0	Positive	Jim Henson's Muppets were a favorite of mine since childhood. This film makes me feel let down. Okay, the Muppets are back with Miss Piggy and Kermit the Frog and their friends. The premise is that they are trying to get on Broadway in a musical show in where else but New York City. You will see cameos by the then New York City Mayor Ed Koch. Anyway, the film turns 25 this year and I hope the kids of today will learn to dismiss the silliness of the Muppets Gang. The problem with the show is Kermit goes missing and the gang has to find him in New York City. It's not worth watching for kids or even sentimental adults like myself.	<new>Jim Henson's Muppets were a favorite of mine since childhood. This film makes me feel <>'t let down. Okay, the Muppets are back with Miss Piggy and Kermit the Frog and their friends. The premise is that they are trying to get on Broadway in a musical show in where else but New York City. You will see cameos by the then New York City Mayor Ed Koch. Anyway, the film turns 25 this year and I hope the kids of today will learn to dismiss the <> of the Muppets Gang. The problem with the show is Kermit goes <> and the gang has to find him in New York City. It's <> watching for kids or even sentimental adults like myself.</new>
0	Negative	The plot is about the death of little children. Hopper is the one who has to investigate the killings. During the movie it appears that he has some troubles with his daughter. In the end the serial killer gets caught. That's it. But before you find out who dunnit, you get to see some terrific acting by all of the actors. It is unbelievable how brilliant these actors are, including Hopper. I could go on like this, but that would be a waste of my time. Just watch the movie. I've advised you.	<new>The plot is not about the death of little children. Hopper is not the one who has to investigate the killings. During the movie it appears that he doesn't have any troubles with his daughter. In the end, the serial killer doesn't get caught. That's it. But before you find out who dunnit, you don't get to see any terrific acting by any of the actors. It is unbelievable how incompetent these actors are, including Hopper. I could go on like this, but that would be a waste of my time. Don't watch the movie. I've advised you.</new>
0	Negative	"""I recently watched this film at the 30th Gothenburg Film Festival, and to be honest it was on of the best films I've ever had the fortune to watch. Don't get me wrong, there are the funny and entertaining bad films (e.g """"Manos  Hands of fate"""") and then there are the awful bad films. (This one is not bad at all). The cinematography was unbelievable,  in a good way. It felt like the cameraman deliberately kept everything out of focus (with the exception of a gratuitous nipple shot), the lighting was something between """"one guy running around with a light bulb"""" and """"non existing"""". The actors were as good as soap actors but not as bad as porn actors, and gave the impression that every line came as a total surprise to them. The only redeeming feature was the look of the masked killer, a classic look a la Jason Vorhees from """"Friday the 13'Th"""". The Plot was extremely great, and the ending even better. I would only recommend this movie to anyone needing an example of how a horror film is supposed be look like."""	"<new>""I recently watched this film at the 30th Gothenburg Film Festival, and to be honest it was on of the worst films I've ever had the misfortune to watch. Don't get me wrong, there are the funny and entertaining good films (e.g """"Manos  Hands of fate"""") and then there are the excellent good films. (This one is not good at all). The cinematography was terrible,  in a bad way. It felt like the cameraman deliberately kept everything in focus (with the exception of a gratuitous nipple shot), the lighting was something between """"one guy running around with a light bulb"""" and """"non existing"""". The actors were as bad as soap actors but not as good as porn actors, and gave the impression that every line came as a total surprise to them. The only redeeming feature was the look of the unmasked killer, a non-classic look unlike Jason Vorhees from """"Friday the 13'Th"""". The Plot was extremely poor, and the ending even worse. I would only discourage this movie to anyone needing an example of how a horror film is supposed be look like.""</new>"
1	Negative	This movie was the most in line and balanced movie i have ever seen in my life. (Besides Farenheit 9/11). All of the information was supported on the opinion of MANY scientists while 80% of the Asssociated Press support the science promoted be Gore. Global Warming is not a Mass Media Hysteria. Most of the information in the movie was quoted correctly and right. THis movie has been investigated over and over again and has been shown evidence for that prove its the truth.  COMPLETELY BALANCE! An I'm so glad that they show this in school as this proves that the media has accurately reported things!	<new>This movie was the most out of line and unbalanced movie i have ever seen in my life. (Besides Farenheit 9/11). None of the information was supported on the opinion of ANY scientists while 80% of the Asssociated Press support the pseudoscience promoted be Gore. Global Warming is a Mass Media Hysteria. Most of the information in the movie was misquoted and wrong. This movie has never been investigated and has no evidence to prove its the truth.  COMPLETELY IMBALANCED! An I'm so sad that they show this in school as this proves that the media has inaccurately reported things!</new>
1	Positive	Jim Henson's Muppets were a favorite of mine since childhood. This film makes me feel let down. Okay, the Muppets are back with Miss Piggy and Kermit the Frog and their friends. The premise is that they are trying to get on Broadway in a musical show in where else but New York City. You will see cameos by the then New York City Mayor Ed Koch. Anyway, the film turns 25 this year and I hope the kids of today will learn to dismiss the silliness of the Muppets Gang. The problem with the show is Kermit goes missing and the gang has to find him in New York City. It's not worth watching for kids or even sentimental adults like myself.	<new>Jim Henson's Muppets were a favorite of mine since childhood. This film makes me feel pleased. Okay, the Muppets are back with Miss Piggy and Kermit the Frog and their friends. The premise is that they are trying to get on Broadway in a musical show in where else but New York City. You will see cameos by the then New York City Mayor Ed Koch. Anyway, the film turns 25 this year and I hope the kids of today will learn to embrace the silliness of the Muppets Gang. The solution with the show is Kermit goes missing and the gang has to find him in New York City. It's worth watching for kids or even sentimental adults like myself.</new>
1	Negative	The plot is about the death of little children. Hopper is the one who has to investigate the killings. During the movie it appears that he has some troubles with his daughter. In the end the serial killer gets caught. That's it. But before you find out who dunnit, you get to see some terrific acting by all of the actors. It is unbelievable how brilliant these actors are, including Hopper. I could go on like this, but that would be a waste of my time. Just watch the movie. I've advised you.	<new>The plot is not about the death of little children. Hopper is the one who has to avoid the killings. During the movie it appears that he has no troubles with his daughter. In the end, the serial killer escapes. That's it. But before you find out who dunnit, you get to see some terrible acting by all of the actors. It is believable how mediocre these actors are, including Hopper. I couldn't go on like this, but that wouldn't be a waste of my time. Just don't watch the movie. I've cautioned you.</new>
0	Negative	"""hg is normally enthralling, and it's never really bothered me--i loved """"bloodfeast 2"""", and i really like pseudo sciences and playing on heuristics. the whole movie is based on a man with esp caused by an electrical accident and a witch. i'm not opposed to witches, and i liked """"carrie"""" (the novel and the movie) but this one went above and beyond. i think it's because of the main character developing esp from an electric line. also the university professor spending his time studying esp cases. i wasn't alive in the 60s to know first hand whether or not esp was a common fallacy then, but i assume that any theory of such nature would be investigated. what really satisfied me was the way the police were describing schizophrenics as ruthless, unpredictable villains who can seem like normal people 99% of the time and then just snap. nothing could be closer to the truth. i enjoy such concepts because they add to public prudence.  many people still think that schizophrenia is dissociative identity disorder. whoever wrote this script knew plenty about psychology.  there were many decent concepts to the movie. i liked the way the witch used men; it was a nice change. i liked how she could make herself attractive, but didn't when she was around her forced lovers. i found it interesting how her second lover also burned his face. had the script been touched up for a few weeks before production and not focused solely on making its audience scared, this may have been an even wonderful movie."""	"<new>""hg is normally mundane, and it's always really bothered me--i hated """"bloodfeast 2"""", and i really dislike pseudo sciences and playing on heuristics. the whole movie is based on a woman without esp caused by a physical accident and a warlock. i am opposed to witches, and i disliked """"carrie"""" (the novel and the movie) but this one went below and within. i think it's because of the side character not developing esp from a natural occurrence. also the high school student wasting his time studying esp cases. i wasn't alive in the 60s to know first hand whether or not esp was a common truth then, but i assume that no theory of such nature would be investigated. what really disappointed me was the way the police were describing schizophrenics as compassionate, predictable heroes who can seem like abnormal people 99% of the time and then just blend in. nothing could be further from the truth. i detest such concepts because they subtract from public prudence.  many people still think that schizophrenia is dissociative identity disorder. whoever didn't write this script knew little about psychology.  there were no decent concepts to the movie. i disliked the way the witch used men; it was a terrible change. i disliked how she couldn't make herself attractive, but did when she was around her voluntary lovers. i found it uninteresting how her second lover also beautified his face. had the script been neglected for a few weeks before production and not focused solely on making its audience thrilled, this may have been a even terrible movie.""</new>"
1	Negative	being a NI supporter, it's easy to objectively review a movie glorifying ulster nationalists. characters who are painless to root for, typical heavy-handed anti-violence messages, and a unpredictable 'poetic justice' ending makes this an unforgettable watch...	<new>As a NI supporter, it's difficult to subjectively review a movie criticizing ulster nationalists. Characters who are painful to root for, atypical light-handed pro-violence messages, and a predictable 'unjust' ending makes this a forgettable watch...</new>
0	Negative	"""Spoilers ahead, but does it really matter? Have you ever read a movie review composed entirely of questions? Could this be it? Why did an ancient civilization bury artifacts all over the world? Why is this question never answered? Why was the opening text crawl coherent? Why would a nun (she sure seemed nice!) hand over 20 orphans to a madman? Has there always been a gold mine in downtown Vancouver? Why does one of the gold mine's shafts exit in the front yard of an orphanage? Why does Tara Reid's character suddenly show up at Christian Slater's apartment for sex? (Or did I just answer my own question?) Why would even a non-archaeologist bang open an obviously valuable solid gold chest with a sledgehammer? Why would modern computers still display green pre-Tron-era grid outlines of objects, complete with little """"bleeps""""? And must all movie explosive timers have digital displays? Why doesn't ANYTHING in this movie make any sense? It was full of wonderful plot twists that left you wanting to know more."""	"<new>""No spoilers here, and does it really matter? Have you ever read a movie review composed entirely of statements? Could this be it? Why did a recent civilization preserve objects all over the world? Why is this answer always provided? Why was the opening text crawl incoherent? Why would a monk (she sure seemed nice!) retrieve 20 orphans from a madman? Has there never been a silver mine in downtown Vancouver? Why does one of the silver mine's entrances come out in the backyard of an orphanage? Why does Tara Reid's character suddenly show up at Christian Slater's apartment for a meal? (Or did I just become my own question?) Why would even an archaeologist bang shut an obviously worthless hollow copper chest with a wrench? Why would outdated computers still display blue post-Tron-era grid outlines of objects, complete with big ""beeps""? And can movie explosive timers have analog displays? Why does EVERYTHING in this movie make perfect sense? It was devoid of any surprising plot twists that left you content.""</new>"
1	Positive	Ingrid Bergman is an impoverished Polish woman in 1900's Paris who finds herself pursued by France's most popular general and a glamorous count -- and she was engaged to a shoe magnate. Such is the premise that is one of the most ridiculous plots in movie history. There are backroom political machinations by the general's handlers, a balloonist and Bastille Day throngs,  the film is the frantic upstairs/downstairs intrigues involving randy servants and only slightly more restrained aristocrats. It's Rules of the Game fail. Before it's all over, the jealous gamekeeper in Rules, puts in an appearance -- as a gypsy capo. Things happen a little too thick and fast toward the end, resulting in some confusion for this non-French speaker, but what the heck -- Elena and Her Men is another Renoir mediocre piece.	<new>Ingrid Bergman is a wealthy Polish woman in 1900's Paris who finds herself pursued by France's most unpopular general and a mundane count -- and she was engaged to a shoe magnate. Such is the premise that is one of the most sensible plots in movie history. There are front room political tranquillity by the general's handlers, a parachutist and Bastille Day solitudes, the film is the calm upstairs/downstairs harmonies involving chaste servants and only slightly more reserved aristocrats. It's Rules of the Game succeed. Before it's all over, the content gamekeeper in Rules, puts in an appearance -- as a French capo. Things happen a little too thin and slow toward the end, resulting in some clarity for this fluent French speaker, but what the heck -- Elena and Her Men is another Renoir masterpiece.</new>
1	Positive	I wouldn't be surprised if Soderbergh was pressured to avoid making pre- revolution Cuba as graphically corrupt as it was. Merely reciting a few statistics isn't going to make it with the younger crowd. Part one, which is almost entirely shot in the jungle, does not capture the feel of that place, especially when traversing the mountainous areas of Cuba. I disliked Del Toro's interpretation of Che Guevara's personality. And the actor who plays Castro, Bichir, also did a horrible job. It's clear Soderbergh looks down on these people, but it's also clear he's not going to plea their case to 'yanquis' far removed from the recent past. Some of the more important historical aspects contradict what I've read. To my knowledge Castro did not court the Soviet Union until all attempts to gain acceptance from the United States were exhausted. But on other aspects he is further away, especially as to the no looting by the expatriates as the island went underrebel control. The country's treasury was left empty.	<new>I wouldn't be surprised if Soderbergh was encouraged to embrace making pre-revolution Cuba as graphically efficient as it was. Merely presenting a few anecdotes isn't going to miss it with the younger crowd. Part one, which is almost entirely shot in the city, does not capture the vibe of that place, especially when exploring the coastal areas of Cuba. I loved Del Toro's interpretation of Che Guevara's personality. And the actor who plays Castro, Bichir, also did an excellent job. It's clear Soderbergh respects these people, and it's also clear he's going to advocate for their case to 'yanquis' far removed from the recent past. Some of the less significant contemporary aspects confirm what I've read. To my knowledge, Castro did court the Soviet Union until all attempts to gain acceptance from the United States were exhausted. But on other aspects, he is closer, especially as to the no acquisition by the expatriates as the island went underrebel control. The country's treasury was left full.</new>
0	Negative	I have loved about 6 movies my entire life. This was one of the best movies I have ever seen. I easily would have sat through another hour of it. . I saw it in the theatre when it came out 8 years ago. I couldn't even remember the name, but I knew that Penelope Ann Miller starred in it. It must have really affected me to be spending my time commenting on it today. Awesome! Love! Hearts!	<new>I have hated about 6 movies my entire life. This was one of the worst movies I have ever seen. I easily would have left after half an hour of it. I saw it in the theatre when it came out 8 years ago. I couldn't even remember the name, but I knew that Penelope Ann Miller starred in it. It must have really disgusted me to be spending my time commenting on it today. Terrible! Hate! Disgust!</new>
1	Positive	If you like Sci-Fi, Monsters, and Ancient Legends, then you will not enjoy this movie.   The Special Effects are by far the best I have seen since worse than Jurassic Park. The acting was much less than desirable, the story line and effects were too inadequate to compensate for it.  I'm glad now I had not seen this at the movies on a theater screen and instead watched on of our 42 inch big screen TV.  If you like non-stop action, awesome visuals, and taste for myth and lore....look somewhere else.	<new>If you dislike Sci-Fi, Monsters, and Ancient Legends, then you will enjoy this movie. The Special Effects are by far the worst I have seen since better than Jurassic Park. The acting was much more than desirable, the story line and effects were too adequate to compensate for it. I'm glad now I had seen this at the movies on a theater screen and instead watched on of our 42 inch big screen TV. If you dislike non-stop action, awesome visuals, and lack of taste for myth and lore....look somewhere else.</new>
1	Negative	"""Don't listen to the misleading title """"Werewolf Woman"""". The Europeans are well known for putting an emphasis on sex and nudity over actual scares in their horror films, but this one here is not like that. """"Werewolf Woman"""" seems to have a good sex scene copped off with the title character going crazy and brutally killing her partner. Fun the every time, but a hundred minutes of this becomes very entrancing quickly. Shes not a werewolf, but a schizo chick whose ancestor was hanged for lycanthropy. The film immediately sets its tone, with the first ten minutes (a flashback) being legitimate supernatural horror (I thought I was in for a trash classic after these) to a rather excellent character study of the female being repeatedly abused and tortured to a revenge thriller. At the end, the director insists this is based on a true story. Yes fantastic.  To be fair, there are a many entertaining aspects of the production. The title werewolf woman is a looker and there are a few nice gore effects and nude scenes. And, these become rather entertaining quickly. Also, the dubbed dialog is pretty hilarious in a camp fashion, especially the worlds most swinging doctor (he drinks on the job). Fortunately, the film becomes pretty engaging fast. There are many actual plots and subplots really. Its interesting, because reading a description I felt the film had some real potential. """"Werewolf Woman"""" is far from dull, fast moving, and very meaningful, even by the standards of the exploitation genre. (10/10)"""	"<new>""Don't dislike the honest title """"Werewolf Woman"""". The Europeans are famous for not putting an emphasis on sex and nudity over actual scares in their horror films, but this one here is like that. """"Werewolf Woman"""" seems to have a bad sex scene copped off with the title character going sane and gently sparing her partner. Boring the every time, but a hundred minutes of this becomes very boring slowly. Shes not a werewolf, but a sane chick whose ancestor was rewarded for lycanthropy. The film immediately sets its tone, with the first ten minutes (a flashback) being legitimate non-supernatural horror (I thought I was in for a trash non-classic after these) to a rather terrible character study of the male being continuously respected and loved to a forgiveness drama. At the end, the director insists this is not based on a true story. No fantastic. To be unfair, there are a few uninteresting aspects of the production. The title werewolf woman is not a looker and there are no nice gore effects and nude scenes. And, these become rather uninteresting slowly. Also, the original dialog is pretty serious in a serious fashion, especially the worlds most depressed doctor (he doesn't drink on the job). Fortunately, the film becomes pretty disengaging slow. There are no actual plots and no subplots at all. Its boring, because reading a description I felt the film had no real potential. """"Werewolf Woman"""" is close to dull, slow moving, and not meaningful, even by the standards of the exploitation genre. (0/10)""</new>"
